sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
119,Sydney - Inner South West,1,New South Wales,C,Manufacturing,13228
119,Sydney - Inner South West,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1558
119,Sydney - Inner South West,1,New South Wales,E,Construction,19190
119,Sydney - Inner South West,1,New South Wales,F,Wholesale Trade,7675
119,Sydney - Inner South West,1,New South Wales,G,Retail Trade,24607
119,Sydney - Inner South West,1,New South Wales,H,Accommodation and Food Services,15205
119,Sydney - Inner South West,1,New South Wales,I,"Transport, Postal and Warehousing",17533
119,Sydney - Inner South West,1,New South Wales,J,Information Media and Telecommunications,4497
119,Sydney - Inner South West,1,New South Wales,K,Financial and Insurance Services,15776
119,Sydney - Inner South West,1,New South Wales,L,"Rental, Hiring and Real Estate Services",4404
119,Sydney - Inner South West,1,New South Wales,M,"Professional, Scientific and Technical Services",21427
119,Sydney - Inner South West,1,New South Wales,N,Administrative and Support Services,9001
119,Sydney - Inner South West,1,New South Wales,O,Public Administration and Safety,12658
119,Sydney - Inner South West,1,New South Wales,P,Education and Training,19587
119,Sydney - Inner South West,1,New South Wales,Q,Health Care and Social Assistance,33273
119,Sydney - Inner South West,1,New South Wales,R,Arts and Recreation Services,3144
119,Sydney - Inner South West,1,New South Wales,S,Other Services,8571
119,Sydney - Inner South West,1,New South Wales,_T,Total,245597
120,Sydney - Inner West,1,New South Wales,A,"Agriculture, Forestry and Fishing",311
120,Sydney - Inner West,1,New South Wales,B,Mining,230
120,Sydney - Inner West,1,New South Wales,C,Manufacturing,6052
120,Sydney - Inner West,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",920
120,Sydney - Inner West,1,New South Wales,E,Construction,10200
120,Sydney - Inner West,1,New South Wales,F,Wholesale Trade,4617
120,Sydney - Inner West,1,New South Wales,G,Retail Trade,12328
